"","Country","Code","Year","Annual Births per Country"
"13986","Slovenia","SVN",2019,19711
"13987","Slovenia","SVN",2020,19361
"14057","Small Island Developing States (SIDS)","",2019,1295160
"14058","Small Island Developing States (SIDS)","",2020,1291180
"14128","Solomon Islands","SLB",2019,21395
"14129","Solomon Islands","SLB",2020,21589
"14199","Somalia","SOM",2019,644285
"14200","Somalia","SOM",2020,660094
"14270","South Africa","ZAF",2019,1177806
"14271","South Africa","ZAF",2020,1172060
"14341","South America","",2019,6503362
"14342","South America","",2020,6458002
"14412","South Eastern Asia","",2019,11369961
"14413","South Eastern Asia","",2020,11307240
"14483","South Korea","KOR",2019,366900
"14484","South Korea","KOR",2020,358793
"14554","South Sudan","SSD",2019,388144
"14555","South Sudan","SSD",2020,389714
"14625","Southern Africa","",2019,1389641
"14626","Southern Africa","",2020,1382938
"14696","Southern Asia","",2019,36708717
"14697","Southern Asia","",2020,36630245
"14767","Southern Europe","",2019,1224109
"14768","Southern Europe","",2020,1202058
"14838","Spain","ESP",2019,386793
"14839","Spain","ESP",2020,380395
"14909","Sri Lanka","LKA",2019,331249
"14910","Sri Lanka","LKA",2020,326419
"14980","Sub-Saharan Africa","",2019,37243079
"14981","Sub-Saharan Africa","",2020,37774541
"15051","Sudan","SDN",2019,1364897
"15052","Sudan","SDN",2020,1383196
"15122","Suriname","SUR",2019,10633
"15123","Suriname","SUR",2020,10587
"15193","Sweden","SWE",2019,119202
"15194","Sweden","SWE",2020,119651
"15264","Switzerland","CHE",2019,88212
"15265","Switzerland","CHE",2020,88511
"15335","Syria","SYR",2019,421622
"15336","Syria","SYR",2020,420602
"15406","Taiwan","TWN",2019,200008
"15407","Taiwan","TWN",2020,200005
"15477","Tajikistan","TJK",2019,279320
"15478","Tajikistan","TJK",2020,277919
"15548","Tanzania","TZA",2019,2111498
"15549","Tanzania","TZA",2020,2153054
"15619","Thailand","THA",2019,707398
"15620","Thailand","THA",2020,696526
"15690","Timor","TLS",2019,37899
"15691","Timor","TLS",2020,38264
"15761","Togo","TGO",2019,264686
"15762","Togo","TGO",2020,268061
"15832","Tonga","TON",2019,2508
"15833","Tonga","TON",2020,2502
"15903","Trinidad and Tobago","TTO",2019,17522
"15904","Trinidad and Tobago","TTO",2020,17103
"15974","Tunisia","TUN",2019,199553
"15975","Tunisia","TUN",2020,195883
"16045","Turkey","TUR",2019,1308105
"16046","Turkey","TUR",2020,1300918
"16116","Turkmenistan","TKM",2019,136816
"16117","Turkmenistan","TKM",2020,134624
"16187","Uganda","UGA",2019,1648528
"16188","Uganda","UGA",2020,1669841
"16258","Ukraine","UKR",2019,407952
"16259","Ukraine","UKR",2020,395731
"16329","United Arab Emirates","ARE",2019,100073
"16330","United Arab Emirates","ARE",2020,100021
"16400","United Kingdom","GBR",2019,772640
"16401","United Kingdom","GBR",2020,771427
"16471","United States","USA",2019,3932450
"16472","United States","USA",2020,3957544
"16542","United States Virgin Islands","VIR",2019,1199
"16543","United States Virgin Islands","VIR",2020,1181
"16613","Upper-middle-income countries","",2019,36017892
"16614","Upper-middle-income countries","",2020,35534851
"16684","Uruguay","URY",2019,47548
"16685","Uruguay","URY",2020,47274
"16755","Uzbekistan","UZB",2019,688159
"16756","Uzbekistan","UZB",2020,677227
"16826","Vanuatu","VUT",2019,8750
"16827","Vanuatu","VUT",2020,8838
"16897","Venezuela","VEN",2019,515171
"16898","Venezuela","VEN",2020,508883
"16968","Vietnam","VNM",2019,1584848
"16969","Vietnam","VNM",2020,1566556
"17039","Western Africa","",2019,14406866
"17040","Western Africa","",2020,14623083
"17110","Western Asia","",2019,5524904
"17111","Western Asia","",2020,5513535
"17181","Western Sahara","ESH",2019,11535
"17182","Western Sahara","ESH",2020,11598
"17252","World","OWID_WRL",2019,140108052
"17253","World","OWID_WRL",2020,139975303
"17323","Yemen","YEM",2019,871528
"17324","Yemen","YEM",2020,874561
"17394","Zambia","ZMB",2019,640635
"17395","Zambia","ZMB",2020,653578
"17465","Zimbabwe","ZWE",2019,436189
"17466","Zimbabwe","ZWE",2020,431769
